row_index,group,split,device_type
58,cbz-2ph::o=p(o)(o)ccccn1c2ccc(-c3ccccc3)cc2c2cc(-c3ccccc3)ccc21,train,OPV
59,cbz-2ph::o=p(o)(o)ccccn1c2ccc(-c3ccccc3)cc2c2cc(-c3ccccc3)ccc21,train,OPV
60,cbz-2ph::o=p(o)(o)ccccn1c2ccc(-c3ccccc3)cc2c2cc(-c3ccccc3)ccc21,train,OPV
61,cbz-2ph::o=p(o)(o)ccccn1c2ccc(-c3ccccc3)cc2c2cc(-c3ccccc3)ccc21,train,OPV
62,4cl-pacz::o=p(o)(o)ccn1c2c(cl)cc(cl)cc2c2cc(cl)cc(cl)c21,train,OPV
63,4cl-pacz::o=p(o)(o)ccn1c2c(cl)cc(cl)cc2c2cc(cl)cc(cl)c21,train,OPV
64,me-4pacz::cc1ccc2c(c1)c1ccc(c)cc1n2ccccp(=o)(o)o,train,OPV
65,2pacz::o=p(o)(o)ccn1c2ccccc2c2ccccc21,train,OPV
66,bnpa::o=p(o)(o)cc1ccccc1,test,OPV
67,f5bnpa::o=p(o)(o)cc1c(f)c(f)c(f)c(f)c1f,test,OPV
68,br-pa::o=p(o)(o)ccn1c2ccc(br)cc2c2cc(br)ccc21,train,OPV
69,cbznaph::o=p(o)(o)ccccn1c2ccc3ccccc3c2c2c3ccccc3ccc21,train,OPV
70,jj25::o=p(o)(o)ccccn1c2cc(br)c3ccccc3c2c2c3ccccc3c(br)cc21,train,OPV
71,jj26::o=p(o)(o)ccccn1c2ccc3cc(br)ccc3c2c2c3ccc(br)cc3ccc21,train,OPV
72,cbznaph::o=p(o)(o)ccccn1c2ccc3ccccc3c2c2c3ccccc3ccc21,train,OPV
73,jj25::o=p(o)(o)ccccn1c2cc(br)c3ccccc3c2c2c3ccccc3c(br)cc21,train,OPV
74,jj26::o=p(o)(o)ccccn1c2ccc3cc(br)ccc3c2c2c3ccc(br)cc3ccc21,train,OPV
75,cbznaph::o=p(o)(o)ccccn1c2ccc3ccccc3c2c2c3ccccc3ccc21,train,OPV
76,jj25::o=p(o)(o)ccccn1c2cc(br)c3ccccc3c2c2c3ccccc3c(br)cc21,train,OPV
77,jj26::o=p(o)(o)ccccn1c2ccc3cc(br)ccc3c2c2c3ccc(br)cc3ccc21,test,OPV
78,me-4pacz::cc1ccc2c(c1)c1ccc(c)cc1n2ccccp(=o)(o)o,test,OPV
79,me-4pacz::cc1ccc2c(c1)c1ccc(c)cc1n2ccccp(=o)(o)o,train,OPV
80,me-4pacz::cc1ccc2c(c1)c1ccc(c)cc1n2ccccp(=o)(o)o,train,OPV
81,me-4pacz::cc1ccc2c(c1)c1ccc(c)cc1n2ccccp(=o)(o)o,train,OPV
82,me-4pacz::cc1ccc2c(c1)c1ccc(c)cc1n2ccccp(=o)(o)o,train,OPV
83,me-4pacz::cc1ccc2c(c1)c1ccc(c)cc1n2ccccp(=o)(o)o,train,OPV
84,me-4pacz::cc1ccc2c(c1)c1ccc(c)cc1n2ccccp(=o)(o)o,train,OPV
85,me-4pacz::cc1ccc2c(c1)c1ccc(c)cc1n2ccccp(=o)(o)o,train,OPV
86,me-4pacz::cc1ccc2c(c1)c1ccc(c)cc1n2ccccp(=o)(o)o,test,OPV
87,me-4pacz::cc1ccc2c(c1)c1ccc(c)cc1n2ccccp(=o)(o)o,train,OPV
88,me-4pacz::cc1ccc2c(c1)c1ccc(c)cc1n2ccccp(=o)(o)o,train,OPV
89,me-4pacz::cc1ccc2c(c1)c1ccc(c)cc1n2ccccp(=o)(o)o,train,OPV
90,br-2epo::o=p(o)(o)ccn1c2ccc(br)cc2oc2cc(br)ccc21,train,OPV
91,br-2ept::o=p(o)(o)ccn1c2ccc(br)cc2sc2cc(br)ccc21,train,OPV
92,br-2epse::o=p(o)(o)ccn1c2ccc(br)cc2[se]c2cc(br)ccc21,train,OPV
93,dcb-bpa::o=p(o)(o)ccccn1c2cc(br)c3ccccc3c2c2c3ccccc3c(br)cc21,train,OPV
94,dcb-bpa::o=p(o)(o)ccccn1c2cc(br)c3ccccc3c2c2c3ccccc3c(br)cc21,train,OPV
95,dcb-bpa::o=p(o)(o)ccccn1c2cc(br)c3ccccc3c2c2c3ccccc3c(br)cc21,train,OPV
96,dcb-bpa::o=p(o)(o)ccccn1c2cc(br)c3ccccc3c2c2c3ccccc3c(br)cc21,train,OPV
97,3cba::o=c(o)c1cc(cl)c(cl)c(cl)c1,test,OPV
98,3cba::o=c(o)c1cc(cl)c(cl)c(cl)c1,train,OPV
99,3cba::o=c(o)c1cc(cl)c(cl)c(cl)c1,train,OPV
100,3cba::o=c(o)c1cc(cl)c(cl)c(cl)c1,train,OPV
101,3cba::o=c(o)c1cc(cl)c(cl)c(cl)c1,train,OPV
102,3cba::o=c(o)c1cc(cl)c(cl)c(cl)c1,train,OPV
103,3cba::o=c(o)c1cc(cl)c(cl)c(cl)c1,train,OPV
104,3cba::o=c(o)c1cc(cl)c(cl)c(cl)c1,train,OPV
105,3cba::o=c(o)c1cc(cl)c(cl)c(cl)c1,train,OPV
106,3cba::o=c(o)c1cc(cl)c(cl)c(cl)c1,train,OPV
107,3cba::o=c(o)c1cc(cl)c(cl)c(cl)c1,train,OPV
108,3cba::o=c(o)c1cc(cl)c(cl)c(cl)c1,train,OPV
109,3cba::o=c(o)c1cc(cl)c(cl)c(cl)c1,train,OPV
110,3cba::o=c(o)c1cc(cl)c(cl)c(cl)c1,train,OPV
111,3cba::o=c(o)c1cc(cl)c(cl)c(cl)c1,train,OPV
112,3cba::o=c(o)c1cc(cl)c(cl)c(cl)c1,train,OPV
113,1br-2pacz::c1=cc2=c(c=c1br)c3=c(n2ccp(=o)(o)o)c=cc=c3,train,OPV
114,2br-2pacz::c1=cc2=c(c=c1br)c3=c(n2ccp(=o)(o)o)c=cc(=c3)br,train,OPV
115,2cl-2pacz::c1=cc2=c(c=c1cl)c3=c(n2ccp(=o)(o)o)c=cc(=c3)cl,train,OPV
116,2pacz::o=p(o)(o)ccn1c2ccccc2c2ccccc21,train,OPV
117,me-4pacz::cc1ccc2c(c1)c1ccc(c)cc1n2ccccp(=o)(o)o,train,OPV
118,4padcb::c1=cc=c2c(=c1)c=cc3=c2c4=c(n3ccccp(=o)(o)o)c=cc5=cc=cc=c54,train,OPV
119,1br-2pacz::c1=cc2=c(c=c1br)c3=c(n2ccp(=o)(o)o)c=cc=c3,train,OPV
120,1br-2pacz::c1=cc2=c(c=c1br)c3=c(n2ccp(=o)(o)o)c=cc=c3,test,OPV
121,1br-2pacz::c1=cc2=c(c=c1br)c3=c(n2ccp(=o)(o)o)c=cc=c3,train,OPV
122,1br-2pacz::c1=cc2=c(c=c1br)c3=c(n2ccp(=o)(o)o)c=cc=c3,train,OPV
123,1br-2pacz::c1=cc2=c(c=c1br)c3=c(n2ccp(=o)(o)o)c=cc=c3,train,OPV
124,2pacz::o=p(o)(o)ccn1c2ccccc2c2ccccc21,train,OPV
125,pph-2pacz::o=p(o)(o)ccn1c2cc(-c3ccc([*])cc3)ccc2c2ccc(-c3ccc([*])cc3)cc21,train,OPV
126,ph-2pacz::o=p(o)(o)ccn1c2cc(-c3ccccc3)ccc2c2ccc(-c3ccccc3)cc21,train,OPV
127,2pacz::o=p(o)(o)ccn1c2ccccc2c2ccccc21,train,OPV
128,pph-2pacz::o=p(o)(o)ccn1c2cc(-c3ccc([*])cc3)ccc2c2ccc(-c3ccc([*])cc3)cc21,train,OPV
129,2pacz::o=p(o)(o)ccn1c2ccccc2c2ccccc21,train,OPV
130,pph-2pacz::o=p(o)(o)ccn1c2cc(-c3ccc([*])cc3)ccc2c2ccc(-c3ccc([*])cc3)cc21,train,OPV
131,t-bu-3pacz::cc(c)(c)c1ccc2c(c1)c1cc(c(c)(c)c)ccc1n2cccp(=o)(o)o,train,OPV
132,ph-3pacz::o=p(o)(o)cccn1c2ccc(-c3ccccc3)cc2c2cc(-c3ccccc3)ccc21,train,OPV
133,bz-3pacz::o=p(o)(o)cccn1c2ccc3ccccc3c2c2c3ccccc3ccc21,train,OPV
134,ph-3pacz::o=p(o)(o)cccn1c2ccc(-c3ccccc3)cc2c2cc(-c3ccccc3)ccc21,train,OPV
135,ph-3pacz::o=p(o)(o)cccn1c2ccc(-c3ccccc3)cc2c2cc(-c3ccccc3)ccc21,train,OPV
136,jj36::o=p(o)(o)ccccn1c2cc(-c3ccccc3)ccc2c2ccc(-c3ccccc3)cc21,train,OPV
137,jj37::o=p(o)(o)c1ccc(-n2c3cc(-c4ccccc4)ccc3c3ccc(-c4ccccc4)cc32)cc1,test,OPV
138,jj36::o=p(o)(o)ccccn1c2cc(-c3ccccc3)ccc2c2ccc(-c3ccccc3)cc21,train,OPV
139,jj37::o=p(o)(o)c1ccc(-n2c3cc(-c4ccccc4)ccc3c3ccc(-c4ccccc4)cc32)cc1,train,OPV
140,jj36::o=p(o)(o)ccccn1c2cc(-c3ccccc3)ccc2c2ccc(-c3ccccc3)cc21,train,OPV
141,jj37::o=p(o)(o)c1ccc(-n2c3cc(-c4ccccc4)ccc3c3ccc(-c4ccccc4)cc32)cc1,train,OPV
142,jj36::o=p(o)(o)ccccn1c2cc(-c3ccccc3)ccc2c2ccc(-c3ccccc3)cc21,train,OPV
143,jj37::o=p(o)(o)c1ccc(-n2c3cc(-c4ccccc4)ccc3c3ccc(-c4ccccc4)cc32)cc1,train,OPV
144,jj37::o=p(o)(o)c1ccc(-n2c3cc(-c4ccccc4)ccc3c3ccc(-c4ccccc4)cc32)cc1,train,OPV
145,2pacz::o=p(o)(o)ccn1c2ccccc2c2ccccc21,train,OPV
146,2pacz::o=p(o)(o)ccn1c2ccccc2c2ccccc21,train,OPV
147,2pacz::o=p(o)(o)ccn1c2ccccc2c2ccccc21,train,OPV
148,ph-4pacz::c1=cc=c(c=c1)c2=cc3=c(c=c2)n(c4=c3c=c(c=c4)c5=cc=cc=c5)ccccp(=o)(o)o,train,OPV
149,ph-4pacz::c1=cc=c(c=c1)c2=cc3=c(c=c2)n(c4=c3c=c(c=c4)c5=cc=cc=c5)ccccp(=o)(o)o,train,OPV
150,ph-4pacz::c1=cc=c(c=c1)c2=cc3=c(c=c2)n(c4=c3c=c(c=c4)c5=cc=cc=c5)ccccp(=o)(o)o,train,OPV
151,ph-4pacz::c1=cc=c(c=c1)c2=cc3=c(c=c2)n(c4=c3c=c(c=c4)c5=cc=cc=c5)ccccp(=o)(o)o,train,OPV
152,ph-4pacz::c1=cc=c(c=c1)c2=cc3=c(c=c2)n(c4=c3c=c(c=c4)c5=cc=cc=c5)ccccp(=o)(o)o,train,OPV
153,ph-4pacz::c1=cc=c(c=c1)c2=cc3=c(c=c2)n(c4=c3c=c(c=c4)c5=cc=cc=c5)ccccp(=o)(o)o,train,OPV
154,4padcb::c1=cc=c2c(=c1)c=cc3=c2c4=c(n3ccccp(=o)(o)o)c=cc5=cc=cc=c54,train,OPV
155,4padcb::c1=cc=c2c(=c1)c=cc3=c2c4=c(n3ccccp(=o)(o)o)c=cc5=cc=cc=c54,train,OPV
156,br-2pacz::c1=cc2=c(c=c1br)c3=c(n2ccp(=o)(o)o)c=cc(=c3)br,train,OPV
157,br-2pacz::c1=cc2=c(c=c1br)c3=c(n2ccp(=o)(o)o)c=cc(=c3)br,train,OPV
158,cbsa::o=s(=o)(o)c1ccc(cl)cc1,train,OPV
159,cbsa::o=s(=o)(o)c1ccc(cl)cc1,train,OPV
160,cbsa::o=s(=o)(o)c1ccc(cl)cc1,train,OPV
161,cbsa::o=s(=o)(o)c1ccc(cl)cc1,train,OPV
162,cbsa::o=s(=o)(o)c1ccc(cl)cc1,train,OPV
163,cba::o=c(o)c1ccc(cl)cc1,train,OPV
164,fba::o=c(o)c1ccc(f)cc1,train,OPV
165,ba::o=c(o)c1ccccc1,train,OPV
166,cbsc::o=s(=o)(cl)c1ccc(cl)cc1,train,OPV
167,cbsa::o=s(=o)(o)c1ccc(cl)cc1,train,OPV
168,cbsa::o=s(=o)(o)c1ccc(cl)cc1,test,OPV
169,cbsa::o=s(=o)(o)c1ccc(cl)cc1,train,OPV
170,cbsa::o=s(=o)(o)c1ccc(cl)cc1,train,OPV
171,cbsa::o=s(=o)(o)c1ccc(cl)cc1,train,OPV
172,cba::o=c(o)c1ccc(cl)cc1,train,OPV
173,fba::o=c(o)c1ccc(f)cc1,train,OPV
174,ba::o=c(o)c1ccccc1,test,OPV
175,cbsc::o=s(=o)(cl)c1ccc(cl)cc1,train,OPV
176,2pacz::o=p(o)(o)ccn1c2ccccc2c2ccccc21,train,OPV
177,2pacz::o=p(o)(o)ccn1c2ccccc2c2ccccc21,train,OPV
178,2pacz::o=p(o)(o)ccn1c2ccccc2c2ccccc21,train,OPV
179,2pacz::o=p(o)(o)ccn1c2ccccc2c2ccccc21,train,OPV
180,2pacz::o=p(o)(o)ccn1c2ccccc2c2ccccc21,train,OPV
181,2pacz::o=p(o)(o)ccn1c2ccccc2c2ccccc21,train,OPV
182,2pacz::o=p(o)(o)ccn1c2ccccc2c2ccccc21,train,OPV
183,cl-2pacz::clc1=cc2=c(n(ccp(o)(o)=o)c3=c2c=c(cl)c=c3)c=c1,train,OPV
184,cl-2pacz::clc1=cc2=c(n(ccp(o)(o)=o)c3=c2c=c(cl)c=c3)c=c1,train,OPV
185,cl-2pacz::clc1=cc2=c(n(ccp(o)(o)=o)c3=c2c=c(cl)c=c3)c=c1,train,OPV
186,br-2pacz::brc1=cc2=c(n(ccp(o)(o)=o)c3=c2c=c(br)c=c3)c=c1,train,OPV
187,br-2pacz::brc1=cc2=c(n(ccp(o)(o)=o)c3=c2c=c(br)c=c3)c=c1,train,OPV
188,br-2pacz::brc1=cc2=c(n(ccp(o)(o)=o)c3=c2c=c(br)c=c3)c=c1,train,OPV
189,me-4pacz::cc1ccc2c(c1)c1ccc(c)cc1n2ccccp(=o)(o)o,train,OPV
190,me-4pacz::cc1ccc2c(c1)c1ccc(c)cc1n2ccccp(=o)(o)o,train,OPV
191,me-4pacz::cc1ccc2c(c1)c1ccc(c)cc1n2ccccp(=o)(o)o,train,OPV
192,2pacz::o=p(o)(o)ccn1c2ccccc2c2ccccc21,train,OPV
193,2pacz::o=p(o)(o)ccn1c2ccccc2c2ccccc21,train,OPV
194,2pacz::o=p(o)(o)ccn1c2ccccc2c2ccccc21,train,OPV
195,cl-2pacz::clc1=cc2=c(n(ccp(o)(o)=o)c3=c2c=c(cl)c=c3)c=c1,train,OPV
196,cl-2pacz::clc1=cc2=c(n(ccp(o)(o)=o)c3=c2c=c(cl)c=c3)c=c1,train,OPV
197,cl-2pacz::clc1=cc2=c(n(ccp(o)(o)=o)c3=c2c=c(cl)c=c3)c=c1,train,OPV
198,br-2pacz::brc1=cc2=c(n(ccp(o)(o)=o)c3=c2c=c(br)c=c3)c=c1,train,OPV
199,br-2pacz::brc1=cc2=c(n(ccp(o)(o)=o)c3=c2c=c(br)c=c3)c=c1,test,OPV
200,br-2pacz::brc1=cc2=c(n(ccp(o)(o)=o)c3=c2c=c(br)c=c3)c=c1,train,OPV
201,me-4pacz::cc1ccc2c(c1)c1ccc(c)cc1n2ccccp(=o)(o)o,train,OPV
202,me-4pacz::cc1ccc2c(c1)c1ccc(c)cc1n2ccccp(=o)(o)o,train,OPV
203,me-4pacz::cc1ccc2c(c1)c1ccc(c)cc1n2ccccp(=o)(o)o,train,OPV
204,2pacz::o=p(o)(o)ccn1c2ccccc2c2ccccc21,train,OPV
205,2pacz::o=p(o)(o)ccn1c2ccccc2c2ccccc21,train,OPV
206,2pacz::o=p(o)(o)ccn1c2ccccc2c2ccccc21,train,OPV
207,2pacz::o=p(o)(o)ccn1c2ccccc2c2ccccc21,train,OPV
208,2pacz::o=p(o)(o)ccn1c2ccccc2c2ccccc21,train,OPV
209,2pathcz::o=p(o)(o)ccn1c2cc(-c3ccsc3)ccc2c2ccc(-c3ccsc3)cc21,train,OPV
210,2pathcz::o=p(o)(o)ccn1c2cc(-c3ccsc3)ccc2c2ccc(-c3ccsc3)cc21,train,OPV
211,4pathcz::o=p(o)(o)ccccn1c2cc(-c3ccsc3)ccc2c2ccc(-c3ccsc3)cc21,test,OPV
212,4pathcz::o=p(o)(o)ccccn1c2cc(-c3ccsc3)ccc2c2ccc(-c3ccsc3)cc21,train,OPV
213,2pacz::o=p(o)(o)ccn1c2ccccc2c2ccccc21,train,OPV
214,2cl-2pacz::o=p(o)(o)ccn1c2ccc(cl)cc2c2cc(cl)ccc21,train,OPV
215,2cl-3pacz::o=p(o)(o)cccn1c2ccc(cl)cc2c2cc(cl)ccc21,test,OPV
216,2cl-4pacz::o=p(o)(o)ccccn1c2ccc(cl)cc2c2cc(cl)ccc21,train,OPV
217,2cl-5pacz::o=p(o)(o)cccccn1c2ccc(cl)cc2c2cc(cl)ccc21,train,OPV
218,2cl-2pacz::o=p(o)(o)ccn1c2ccc(cl)cc2c2cc(cl)ccc21,test,OPV
219,2cl-3pacz::o=p(o)(o)cccn1c2ccc(cl)cc2c2cc(cl)ccc21,train,OPV
220,2cl-4pacz::o=p(o)(o)ccccn1c2ccc(cl)cc2c2cc(cl)ccc21,train,OPV
221,2cl-5pacz::o=p(o)(o)cccccn1c2ccc(cl)cc2c2cc(cl)ccc21,train,OPV
222,2cl-2pacz::o=p(o)(o)ccn1c2ccc(cl)cc2c2cc(cl)ccc21,train,OPV
223,2cl-3pacz::o=p(o)(o)cccn1c2ccc(cl)cc2c2cc(cl)ccc21,train,OPV
224,2cl-4pacz::o=p(o)(o)ccccn1c2ccc(cl)cc2c2cc(cl)ccc21,train,OPV
225,2cl-5pacz::o=p(o)(o)cccccn1c2ccc(cl)cc2c2cc(cl)ccc21,train,OPV
226,f-2pacz::o=p(o)(o)ccn1c2cc(f)ccc2c2ccc(f)cc21,train,OPV
227,cl-2pacz::o=p(o)(o)ccn1c2cc(cl)ccc2c2ccc(cl)cc21,train,OPV
228,br-2pacz::o=p(o)(o)ccn1c2cc(br)ccc2c2ccc(br)cc21,train,OPV
229,i-2pacz::o=p(o)(o)ccn1c2cc(i)ccc2c2ccc(i)cc21,train,OPV
230,cl-2pacz::o=p(o)(o)ccn1c2cc(cl)ccc2c2ccc(cl)cc21,train,OPV
231,cl-2pacz::o=p(o)(o)ccn1c2cc(cl)ccc2c2ccc(cl)cc21,test,OPV
232,cl-2pacz::o=p(o)(o)ccn1c2cc(cl)ccc2c2ccc(cl)cc21,train,OPV
233,"3,6-cl-2pacz::o=p(o)(o)ccn1c2ccc(cl)cc2c2cc(cl)ccc21",train,OPV
234,"4,5-cl-2pacz::o=p(o)(o)ccn1c2cccc(cl)c2c2c(cl)cccc21",test,OPV
235,"4,5-cl-2pacz::o=p(o)(o)ccn1c2cccc(cl)c2c2c(cl)cccc21",test,OPV
236,4padcb::c1=cc=c2c(=c1)c=cc3=c2c4=c(n3ccccp(=o)(o)o)c=cc5=cc=cc=c54,train,OPV
237,2pacz::o=p(o)(o)ccn1c2ccccc2c2ccccc21,train,OPV
238,br-2pacz::o=p(o)(o)ccn1c2ccc(br)cc2c2cc(br)ccc21,train,OPV
239,me-4pacz::cc1ccc2c(c1)c1ccc(c)cc1n2ccccp(=o)(o)o,train,OPV
240,2pacz::o=p(o)(o)ccn1c2ccccc2c2ccccc21,train,OPV
241,2pacz::o=p(o)(o)ccn1c2ccccc2c2ccccc21,train,OPV
242,2pacz::o=p(o)(o)ccn1c2ccccc2c2ccccc21,train,OPV
243,2pacz::o=p(o)(o)ccn1c2ccccc2c2ccccc21,train,OPV
244,2pacz::o=p(o)(o)ccn1c2ccccc2c2ccccc21,train,OPV
245,2pacz::o=p(o)(o)ccn1c2ccccc2c2ccccc21,train,OPV
246,4pa-sacf::o=p(o)(o)ccccn1c2ccccc2c2(c3ccccc3-c3ccccc32)c2ccccc21,train,OPV
247,4pa-dmac::cc1(c)c2ccccc2n(ccccp(=o)(o)o)c2ccccc21,test,OPV
248,4pa-sacf::o=p(o)(o)ccccn1c2ccccc2c2(c3ccccc3-c3ccccc32)c2ccccc21,train,OPV
249,4pa-sacf::o=p(o)(o)ccccn1c2ccccc2c2(c3ccccc3-c3ccccc32)c2ccccc21,train,OPV
250,4pa-sacf::o=p(o)(o)ccccn1c2ccccc2c2(c3ccccc3-c3ccccc32)c2ccccc21,train,OPV
251,4pa-sacf::o=p(o)(o)ccccn1c2ccccc2c2(c3ccccc3-c3ccccc32)c2ccccc21,train,OPV
252,4pa-sacf::o=p(o)(o)ccccn1c2ccccc2c2(c3ccccc3-c3ccccc32)c2ccccc21,train,OPV
253,brcz::o=p(o)(o)ccccn1c2ccccc2c2ccc(br)cc21,train,OPV
254,brbacz::o=p(o)(o)ccccn1c2ccc(br)cc2c2ccc3ccccc3c21,train,OPV
255,brbacz::o=p(o)(o)ccccn1c2ccc(br)cc2c2ccc3ccccc3c21,train,OPV
256,brbacz::o=p(o)(o)ccccn1c2ccc(br)cc2c2ccc3ccccc3c21,train,OPV
257,brbacz::o=p(o)(o)ccccn1c2ccc(br)cc2c2ccc3ccccc3c21,train,OPV
258,cbznaph::op(ccccn1c2=c(c3=c1c=cc4=cc=cc=c34)c5=cc=cc=c5c=c2)(o)=o,train,OPV
259,jj25::op(o)(=o)ccccn1c2=c(c3=cc=cc=c3c(br)=c2)c2=c1c=c(br)c1=cc=cc=c12,train,OPV
260,jj26::brc1=cc=c2c3=c(n(ccccp(o)(o)=o)c4=c3c5=cc=c(br)c=c5c=c4)c=cc2=c1,test,OPV
261,cbznaph::op(ccccn1c2=c(c3=c1c=cc4=cc=cc=c34)c5=cc=cc=c5c=c2)(o)=o,train,OPV
